Material Name,Density (g/cc),Melting Point (°C),Specific Heat (J/g-°C),Thermal Cond. (W/m-K),CTE (µm/m-°C),Flash Point (°C),Autoignition Temp (°C),UL94 Flammability,Limiting Oxygen Index (%),Smoke Density (Ds),Char Yield (%),Decomp. Temp (°C),Heat of Combustion (MJ/kg),Flame Spread Index,descriptor_count_used,Base_Resistance_Target
Nickel Foam,1.2,1455.0,0.44,15.0,13.0,,,Non,0.0,0.0,0.0,1455.0,0.0,0.0,7,0.57562977231583
Nickel Monoxide (NiO),6.67,1955.0,0.52,10.5,12.5,,,Non,0.0,0.0,0.0,1955.0,0.0,0.0,7,0.6091958469958191
Nickel Oxide (NiO),6.67,1955.0,0.52,10.0,12.5,,,Non,0.0,0.0,0.0,1955.0,0.0,0.0,7,0.6091958469958191
Nickel Silicide,7.4,1287.0,0.44,25.0,14.5,,,Non,0.0,0.0,0.0,1287.0,0.0,0.0,7,0.5643515712233536
Nickel Silicide (Ni2Si),7.4,1287.0,0.44,25.0,14.5,,,Non,0.0,0.0,0.0,1287.0,0.0,0.0,7,0.5643515712233536
Nickel Silver (C75200),8.73,1070.0,0.38,33.0,16.2,,,Non,0.0,0.0,0.0,1070.0,0.0,0.0,7,0.5497838948122383
Nickel Silver (C77000),8.58,1040.0,0.38,29.0,16.7,,,Non,0.0,0.0,0.0,1040.0,0.0,0.0,7,0.547769930331439
Nickel Stannate (NiSnO3),6.85,1750.0,0.45,3.0,11.0,,,Non,0.0,0.0,0.0,1750.0,0.0,0.0,7,0.5954337563770234
Nickel Titanate (NiTiO3),5.15,1600.0,0.55,4.0,10.0,,,Non,0.0,0.0,0.0,1600.0,0.0,0.0,7,0.5853639339730269
Nickel(II) Bromide,5.1,963.0,0.35,2.0,15.0,,,Non,0.0,0.0,0.0,963.0,0.0,0.0,7,0.5426007548307206
Nickel(II) Carbonate,4.39,,0.45,1.2,18.0,,,Non,0.0,0.0,0.0,200.0,0.0,0.0,6,0.5553134494451436
Nickel(II) Chloride,3.55,1001.0,0.45,2.5,13.0,,,Non,0.0,0.0,0.0,1001.0,0.0,0.0,7,0.5451517765063998
Nickel(II) Iodide,5.83,797.0,0.25,1.8,18.0,,,Non,0.0,0.0,0.0,797.0,0.0,0.0,7,0.5314568180369642
Nickel-Aluminum (Ni3Al),7.5,1385.0,0.45,25.0,12.5,,,Non,0.0,0.0,0.0,1385.0,0.0,0.0,7,0.5709305218606314
Nickel-Aluminum Bronze (C95800),7.64,1045.0,0.44,42.0,16.2,,,Non,0.0,0.0,0.0,1045.0,0.0,0.0,7,0.5481055910782388
Nickel-Chromium Iron,8.44,1300.0,0.43,11.4,13.0,,,Non,0.0,0.0,0.0,1300.0,0.0,0.0,7,0.5652242891650333
Nickel-Copper (Monel),8.8,1325.0,0.43,21.8,13.9,,,Non,0.0,0.0,0.0,1325.0,0.0,0.0,7,0.5669025928990328
Nickel-Moly (Hastelloy),8.9,1370.0,0.42,10.2,11.2,,,Non,0.0,0.0,0.0,1370.0,0.0,0.0,7,0.5699235396202318
Nicrofer 602 CA,7.95,1350.0,0.45,12.0,14.5,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0,7,0.5685808966330322
Nimonic 105,8.01,1310.0,0.45,10.5,13.0,,,Non,0.0,0.0,0.0,1310.0,0.0,0.0,7,0.565895610658633
Nimonic 115,7.85,1305.0,0.46,10.0,13.4,,,Non,0.0,0.0,0.0,1305.0,0.0,0.0,7,0.5655599499118332
Nimonic 75,8.37,1340.0,0.46,11.7,12.2,,,Non,0.0,0.0,0.0,1340.0,0.0,0.0,7,0.5679095751394324
Nimonic 80A,8.19,1320.0,0.45,11.0,12.7,,,Non,0.0,0.0,0.0,1320.0,0.0,0.0,7,0.5665669321522329
Nimonic 90,8.18,1310.0,0.44,11.0,12.7,,,Non,0.0,0.0,0.0,1310.0,0.0,0.0,7,0.565895610658633
Niobium,8.57,2477.0,0.26,53.0,7.3,,,Non,0.0,0.0,0.0,2477.0,0.0,0.0,7,0.6442388289617279
Niobium (C-103),8.85,2350.0,0.27,45.0,7.1,,,Non,0.0,0.0,0.0,2350.0,0.0,0.0,7,0.6357130459930105
Niobium Boride (NbB2),6.97,3000.0,0.3,18.0,8.2,,,Non,0.0,0.0,0.0,3000.0,0.0,0.0,7,0.6793489430769964
Niobium Carbide,7.81,3500.0,0.3249999999999999,14.0,6.65,,,Non,0.0,0.0,0.0,3500.0,0.0,0.0,7,0.7129150177569856
Niobium Diboride (NbB2),6.97,3000.0,0.38,20.0,8.2,,,Non,0.0,0.0,0.0,3000.0,0.0,0.0,7,0.6793489430769964
Niobium Hydride,7.7,1000.0,0.3,12.0,8.5,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0,7,0.5450846443570397
Niobium Pentoxide,4.6,1512.0,0.55,1.5,5.8,,,Non,0.0,0.0,0.0,1512.0,0.0,0.0,7,0.5794563048293487
Niobium Silicide,7.15,2484.0,0.32,15.0,8.2,,,Non,0.0,0.0,0.0,2484.0,0.0,0.0,7,0.6447087540072476
Niobium Silicide (Nb5Si3),7.15,2484.0,0.32,15.0,8.2,,,Non,0.0,0.0,0.0,2484.0,0.0,0.0,7,0.6447087540072476
Niobium-1% Zirconium,8.59,2410.0,0.27,52.0,7.2,,,Non,0.0,0.0,0.0,2410.0,0.0,0.0,7,0.6397409749546092
Niobium-Hafnium (C103),8.85,2350.0,0.27,45.0,7.1,,,Non,0.0,0.0,0.0,2350.0,0.0,0.0,7,0.6357130459930105
Niobium-Titanium (Superconductor),6.02,1870.0,0.45,15.0,8.5,,,Non,0.0,0.0,0.0,1870.0,0.0,0.0,7,0.603489614300221
Niobium-Zirconium (Nb-1Zr),8.6,2410.0,0.27,52.0,7.2,,,Non,0.0,0.0,0.0,2410.0,0.0,0.0,7,0.6397409749546092
Nitric Acid,1.51,-42.0,1.75,0.3,,,,,,0.0,83.0,0.0,,,4,0.36637337378770807
Nitric Oxide,0.001,-164.0,1.0,0.03,,,,,,0.0,-151.0,0.0,,,4,0.2678058183169403
Nitrile (NBR) Sponge,0.2,,1.9,0.05,,,380.0,HB,18.0,600.0,10.0,250.0,35.0,250.0,7,0.4199370905042953
Nitrile Rubber (NBR),1.125,,1.925,0.25,210.0,300.0,380.0,HB,18.0,425.0,10.0,250.0,36.0,215.0,8,0.4676325049280632
Nitrobenzene,1.2,6.0,1.45,0.16,88.0,482.0,,,,15.0,210.0,25.5,,,5,0.48534155400643675
Nitrocellulose,1.65,,1.45,0.2,,,170.0,,,1000.0,5.0,180.0,10.0,,5,0.3213959334007918
Nitroethane,1.05,-50.0,1.85,0.17,,28.0,414.0,HB,19.0,,0.0,114.0,15.5,,7,0.34723131314914735
Nitrogen,0.001,-210.0,1.04,0.03,,,,,,0.0,-196.0,0.0,,,4,0.24752752895910982
Nitrogen Dioxide,1.45,-11.0,1.0,0.15,,,,,,0.0,21.0,0.0,,,4,0.3439742997679851
Nitroguanidine,1.77,232.0,1.2,0.25,,,,,,100.0,20.0,232.0,8.5,,5,0.4777411662369621
Nitromethane,1.14,-29.0,1.75,0.18,,35.0,418.0,HB,20.0,,0.0,101.0,11.3,,7,0.35108825072138433
Nitronic 60,7.6,1350.0,0.5,16.0,15.5,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0,7,0.5685808966330322
Nitrous Oxide,0.002,-91.0,0.88,0.02,,,,,,0.0,-88.0,0.0,,,4,0.2967002367543669
Nobelium Boride (NoB4),8.45,1600.0,0.2,3.0,18.5,,,Non,0.0,0.0,0.0,1600.0,0.0,0.0,7,0.5853639339730269
Nomex,1.38,,1.2,0.13,20.0,,520.0,V-0,30.0,15.0,40.0,430.0,25.0,10.0,7,0.6224162557443157
Nomex (Aramid),1.38,,1.2,0.13,20.0,,520.0,V-0,30.0,20.0,40.0,430.0,25.0,10.0,7,0.6217597431392736
Nonane,0.72,-53.0,2.2,0.14,31.0,205.0,,,,0.0,,44.4,,,4,0.3776383536854899
Nylon 6 (30% Glass Reinforced),1.36,220.0,1.4,0.32,28.0,400.0,430.0,HB,23.5,45.0,22.0,410.0,29.0,75.0,9,0.529737937916686
Nylon 6 (Impact Mod),1.1,220.0,1.8,0.22,95.0,380.0,410.0,HB,20.0,45.0,8.0,390.0,32.0,90.0,9,0.5141342677361932
Nylon 6 Fiber,1.14,220.0,1.7,0.25,20.0,390.0,420.0,HB,21.0,50.0,10.0,400.0,31.0,90.0,9,0.5180226389071629
Nylon 612,1.06,212.0,1.7,0.22,90.0,385.0,415.0,HB,18.5,40.0,8.0,390.0,34.0,90.0,9,0.5139352790141576
Nylon 66 (MoS2 Filled),1.15,263.0,1.65,0.26,80.0,400.0,450.0,HB,24.0,35.0,18.0,410.0,32.0,70.0,9,0.5355684612993941
Nylon 66 (PA66),1.14,263.0,1.67,0.25,80.0,400.0,450.0,V-2,24.0,30.0,15.0,410.0,32.0,60.0,9,0.5377804711033156
Nylon Carpet Fiber,1.14,260.0,1.7,0.25,90.0,,520.0,HB,21.0,300.0,10.0,400.0,32.0,150.0,8,0.47356409867148963
OSB (Oriented Strand Board),0.64,,1.6,0.12,4.5,240.0,350.0,HB,25.0,85.0,25.0,270.0,19.0,150.0,8,0.5238609882918829
Obsidian,2.4,1100.0,0.8,1.5,5.0,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0,7,0.5517978592930376
Octane (n),0.7,-57.0,2.2,0.13,13.0,206.0,,,,0.0,,44.5,,,4,0.3776676994512399
Oleic Acid,0.89,13.0,2.0,0.15,,189.0,363.0,HB,16.0,650.0,2.0,260.0,39.0,400.0,9,0.3398953602778281
Olive Oil,0.91,,1.95,0.17,,225.0,343.0,HB,16.0,680.0,3.0,290.0,39.5,380.0,8,0.37834968832267446
Osmium (Pure),22.6,3033.0,0.13,87.0,5.1,,,Non,0.0,0.0,0.0,3033.0,0.0,0.0,7,0.6815643040058758
Osmium Metal,22.6,3033.0,0.13,87.0,5.1,,,Non,0.0,0.0,0.0,3033.0,0.0,0.0,7,0.6815643040058758
Osmium Silicide,13.5,1800.0,0.18,15.0,6.2,,,Non,0.0,0.0,0.0,1800.0,0.0,0.0,7,0.5987903638450225
Oxygen,0.001,-218.0,0.92,0.03,,,,,,0.0,-183.0,0.0,,,4,0.252136060157748
PAEK (Polymer Vic),1.3,340.0,1.3,0.24,45.0,560.0,590.0,V-0,36.0,12.0,52.0,570.0,29.0,10.0,9,0.6157176696496529
PAI (Torlon 4203),1.42,275.0,1.0,0.26,31.0,560.0,600.0,V-0,43.0,10.0,55.0,520.0,24.5,5.0,9,0.6241046927150443
PBI (Polybenzimidazole),1.3,,1.4,0.4,23.0,,620.0,V-0,58.0,2.0,75.0,550.0,22.0,0.0,7,0.697888952371464
PBO Fiber (Zylon),1.56,,1.1,0.05,-6.0,,650.0,V-0,68.0,5.0,70.0,650.0,20.0,0.0,7,0.7198416657866112
PBT (30% Glass Reinforced),1.53,223.0,1.15,0.26,25.0,365.0,425.0,HB,21.0,50.0,18.0,390.0,24.5,110.0,9,0.5130977213335672
PBT (Valox 310),1.31,223.0,1.25,0.21,80.0,360.0,420.0,HB,20.0,55.0,12.0,380.0,25.5,120.0,9,0.5065763568463787
PCTFE (Kel-F),2.13,213.0,0.9,0.2,70.0,500.0,515.0,V-0,95.0,5.0,0.0,480.0,6.0,5.0,9,0.6521551592345174
PEEK (30% Glass),1.5,343.0,1.2,0.43,22.0,575.0,600.0,V-0,38.0,12.0,55.0,580.0,27.0,8.0,9,0.6225675899617258
PEEK (450CA30),1.44,343.0,1.1,0.95,18.0,575.0,600.0,V-0,40.0,10.0,55.0,580.0,27.5,5.0,9,0.6256259397679392
PEEK (Bearing Grade),1.45,343.0,1.15,0.6,25.0,570.0,595.0,V-0,35.0,15.0,50.0,575.0,28.0,10.0,9,0.6161102672543497
PEEK (Victrex 450G),1.31,343.0,1.34,0.25,47.0,570.0,595.0,V-0,35.0,10.0,50.0,575.0,28.4,10.0,9,0.6165930582104315
PEI (30% Glass Reinforced),1.51,217.0,1.05,0.25,20.0,535.0,545.0,V-0,50.0,5.0,58.0,520.0,25.0,5.0,9,0.6204554608954866
PEI (Bearing Grade),1.45,215.0,1.1,0.4,25.0,535.0,540.0,V-0,47.0,8.0,52.0,510.0,26.0,5.0,9,0.6146600887137377
PEI (Carbon Filled),1.4,215.0,1.1,0.45,15.0,540.0,550.0,V-0,52.0,5.0,60.0,520.0,25.0,5.0,9,0.6242776434314042
PEK (Polyetherketone),1.3,373.0,1.32,0.24,40.0,580.0,600.0,V-0,36.0,10.0,55.0,580.0,29.0,5.0,9,0.6224337103414987
PEKK (Kepstan),1.31,305.0,1.3,0.25,42.0,575.0,595.0,V-0,40.0,8.0,58.0,585.0,28.0,5.0,9,0.6247245019219192
PEKK (Polyetherketoneketone),1.28,305.0,1.3,0.25,42.0,575.0,595.0,V-0,40.0,8.0,58.0,585.0,28.0,5.0,9,0.6247245019219192
PES (Radel A),1.37,225.0,1.1,0.18,55.0,510.0,550.0,V-0,38.0,15.0,40.0,530.0,24.0,10.0,9,0.6002657003784946
PET (30% Glass Reinforced),1.56,250.0,1.1,0.29,22.0,390.0,470.0,HB,22.0,60.0,20.0,410.0,21.5,90.0,9,0.5288634321747379
PET (Amorphous),1.34,255.0,1.15,0.24,65.0,400.0,480.0,V-2,22.0,60.0,15.0,400.0,22.0,80.0,9,0.5326618309820775
PETN,1.77,141.0,1.15,0.25,,,190.0,,,1000.0,2.0,150.0,11.0,,6,0.285807783054741
PFA (Teflon PFA),2.15,305.0,1.17,0.25,120.0,520.0,530.0,V-0,95.0,3.0,0.0,500.0,5.1,5.0,9,0.6598333446625563
PH 15-7 Mo,7.8,1425.0,0.46,16.5,10.1,,,Non,0.0,0.0,0.0,1425.0,0.0,0.0,7,0.5736158078350305
PMMA (Acrylic),1.18,160.0,1.46,0.19,75.0,300.0,430.0,HB,17.2,70.0,0.0,300.0,26.2,160.0,9,0.481753788043389
PMP (Polymethylpentene),0.83,235.0,1.9,0.17,117.0,350.0,400.0,HB,17.1,25.0,0.0,360.0,44.0,160.0,9,0.4898772391712456
PPS (40% Glass Reinforced),1.65,285.0,1.0,0.33,20.0,540.0,550.0,V-0,47.0,10.0,55.0,510.0,24.0,5.0,9,0.6189779309247792
PPS (40% Glass),1.65,285.0,1.05,0.33,20.0,545.0,555.0,V-0,48.0,10.0,55.0,515.0,24.0,5.0,9,0.6215245839635362
PPS (Bearing Grade),1.5,285.0,1.08,0.45,30.0,540.0,550.0,V-0,44.0,15.0,48.0,500.0,25.0,5.0,9,0.6135878705069928
PPS (Fortron/Ryton),1.35,285.0,1.09,0.29,49.0,540.0,550.0,V-0,44.0,12.0,48.0,500.0,25.0,5.0,9,0.6138942430560124
PPS (Ryton R-4),1.68,285.0,1.0,0.3,22.0,540.0,550.0,V-0,47.0,12.0,50.0,510.0,24.2,5.0,9,0.617891712023735
PPSU (Polyphenylsulfone),1.29,220.0,1.15,0.35,55.0,515.0,560.0,V-0,38.0,15.0,42.0,530.0,24.0,10.0,9,0.6025183892106765
PSU (Glass Filled),1.49,190.0,1.0,0.3,28.0,500.0,550.0,V-0,34.0,25.0,40.0,470.0,23.0,10.0,9,0.5912411269206325
PTFE (Bronze Filled),3.1,327.0,0.8,0.5,90.0,530.0,530.0,V-0,95.0,5.0,30.0,510.0,6.0,5.0,9,0.666757855752878
PTFE (Carbon Filled),2.1,327.0,0.95,0.6,80.0,530.0,530.0,V-0,95.0,8.0,45.0,510.0,7.0,5.0,9,0.668986074973148
PTFE (Teflon 7A),2.16,327.0,1.0,0.25,124.0,530.0,530.0,V-0,95.0,2.0,0.0,510.0,5.1,5.0,9,0.6619185123762036
PTFE (Teflon),2.15,327.0,1.0,0.25,120.0,,530.0,V-0,95.0,5.0,5.0,550.0,5.0,2.0,8,0.646113150515649
PVC (Flexible/Plasticized),1.3,180.0,1.1,0.15,100.0,350.0,420.0,V-2,25.0,400.0,30.0,250.0,20.0,60.0,9,0.4880741196368377
PVC (Rigid K-65),1.4,210.0,0.95,0.2,55.0,395.0,455.0,V-0,48.0,220.0,48.0,285.0,18.0,15.0,9,0.5572554698143819
PVC Foam Board,0.6,,1.2,0.06,60.0,,450.0,V-0,45.0,300.0,35.0,220.0,18.0,20.0,7,0.5828648293941608
PVC Membrane (Roofing),1.35,,1.2,0.15,80.0,,450.0,V-0,40.0,250.0,25.0,260.0,18.0,20.0,7,0.5813985448436607
PVC Sponge (Closed Cell),0.12,,1.2,0.04,,,450.0,V-0,45.0,300.0,35.0,220.0,18.0,20.0,7,0.5828648293941608
PVC/Acrylic Blend (Kydex),1.35,180.0,1.2,0.2,80.0,390.0,450.0,V-0,35.0,150.0,30.0,260.0,20.0,20.0,9,0.5428437520227498
PVDF (Kynar 740),1.78,172.0,1.3,0.19,120.0,440.0,460.0,V-0,44.0,20.0,25.0,450.0,14.5,10.0,9,0.5798130310394816
PVDF (Kynar),1.78,172.0,1.3,0.2,130.0,,,V-0,44.0,20.0,30.0,420.0,14.0,5.0,7,0.562076080388317
PWA 1484,8.78,1340.0,0.41,13.0,11.9,,,Non,0.0,0.0,0.0,1340.0,0.0,0.0,7,0.5679095751394324
Palladium,12.0,1555.0,0.24,71.0,11.8,,,Non,0.0,0.0,0.0,1555.0,0.0,0.0,7,0.5823429872518278
Palladium (95%),11.9,1500.0,0.24,70.0,11.5,,,Non,0.0,0.0,0.0,1500.0,0.0,0.0,7,0.5786507190370289
Palladium (Pure),12.01,1555.0,0.24,71.0,11.75,,,Non,0.0,0.0,0.0,1555.0,0.0,0.0,7,0.5823429872518278
Palladium Oxide,8.3,750.0,0.25,10.0,6.0,,,Non,0.0,0.0,0.0,750.0,0.0,0.0,7,0.5283016070170452
Palladium Silicide,9.55,1200.0,0.25,18.0,10.5,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0,7,0.5585110742290355
Palm Oil,0.91,35.0,2.0,0.17,,267.0,315.0,HB,16.0,680.0,4.0,280.0,39.5,380.0,9,0.3446205931580113
Papercrete,0.65,,1.4,0.12,,,,HB,28.0,150.0,35.0,220.0,16.0,80.0,6,0.5605640545477543
Paraffin Wax,0.9,55.0,2.9,0.25,,200.0,245.0,HB,14.0,800.0,0.0,250.0,44.0,500.0,9,0.2842828213231969
Parchment,0.8,,1.45,0.12,,,,HB,26.0,120.0,32.0,230.0,19.0,100.0,6,0.55445718598625
Particle Board,0.7,,1.5,0.1,5.5,235.0,345.0,HB,25.0,100.0,26.0,260.0,19.5,170.0,8,0.5155318795647469
Peat (Dried),0.5,,1.8,0.12,,,250.0,HB,18.0,600.0,35.0,350.0,18.0,300.0,7,0.3916753251048141
Pebax (TPE-A),1.01,175.0,2.1,0.21,150.0,340.0,380.0,HB,17.5,100.0,5.0,320.0,35.0,140.0,9,0.48191889865320486
Pentane (n),0.63,-130.0,2.3,0.12,-49.0,260.0,,,,0.0,,45.3,,,4,0.38737596263451657
Peracetic Acid (40%),1.15,0.0,2.5,0.45,,41.0,,,,0.0,110.0,12.0,,,5,0.3648166021963921
Perfluoroalkoxy (PFA Film),2.15,305.0,1.17,0.25,120.0,520.0,530.0,V-0,95.0,3.0,0.0,500.0,5.1,5.0,9,0.6598333446625563
Perfluoroalkoxy (PFA),2.15,305.0,1.135,0.25,120.0,520.0,530.0,V-0,95.0,4.0,0.0,500.0,5.2,3.5,9,0.6600575963231453
Perfluoroelastomer (Kalrez),2.01,,1.1,0.2,230.0,500.0,540.0,V-0,95.0,5.0,50.0,480.0,8.0,5.0,8,0.7335424605848231
Perlite (Expanded),0.12,1250.0,0.925,0.05,8.0,,,Non,0.0,0.0,0.0,1250.0,0.0,0.0,7,0.5618676816970344
Pewter (Tin-Antimony),7.28,240.0,0.21,30.0,23.0,,,Non,0.0,0.0,0.0,240.0,0.0,0.0,7,0.4940642108434563
Phenol,1.07,41.0,1.45,0.18,79.0,715.0,,,,20.0,182.0,31.2,,,5,0.5257245566170292
Phenol-Formaldehyde Glue,1.25,,1.2,0.18,40.0,,,V-0,38.0,50.0,50.0,300.0,18.0,15.0,6,0.6210485825711228
Phenolic (Cotton Rein),1.35,,1.25,0.25,25.0,520.0,550.0,V-0,40.0,10.0,60.0,400.0,22.0,5.0,8,0.6669514324435383
Phenolic (Molding Cmpd),1.6,,1.1,0.45,25.0,550.0,580.0,V-0,45.0,5.0,65.0,480.0,20.0,5.0,8,0.6860684459089021
Phenolic Foam,0.06,,1.35,0.02,40.0,,580.0,V-0,35.0,50.0,45.0,350.0,24.0,15.0,7,0.633331494781926
Phenolic Foam (High Density),0.15,,1.2,0.03,30.0,550.0,580.0,V-0,45.0,5.0,65.0,480.0,20.0,5.0,8,0.6860684459089021
Phenolic Foam (Insulation),0.04,,1.4,0.02,40.0,,580.0,V-0,38.0,50.0,45.0,380.0,24.0,15.0,7,0.6386249011169499
Phenolic Resin,1.28,300.0,1.21,0.2,35.0,530.0,560.0,V-0,42.0,5.0,58.0,450.0,22.1,5.0,9,0.613723975371975
Phosgene,1.38,-128.0,1.0,0.12,,,,,,0.0,8.0,0.0,,,4,0.33202836542306846
Phosphoric Acid,1.88,42.0,1.15,0.4,,,,,,0.0,213.0,0.0,,,4,0.4220853587020072
Phosphorus (Red),2.2,,0.68,0.12,,,260.0,HB,100.0,500.0,0.0,416.0,25.0,0.0,7,0.6033206677430057
Phosphorus (White),1.82,44.0,0.75,0.15,,,30.0,HB,100.0,800.0,0.0,280.0,25.0,0.0,8,0.46050547929303065
Phosphorus Hydride (Phosphine),0.001,-133.0,1.05,,,,,,0.0,-87.0,22.1,,,,4,0.34236163545968396
Phosphorus Silicide,3.55,,0.55,10.0,15.5,,,Non,0.0,0.0,0.0,750.0,0.0,0.0,6,0.5768668627220462
Phthalic Anhydride,1.53,131.0,1.15,0.14,152.0,570.0,,,,30.0,285.0,21.5,,,5,0.5298853392482301
Pine Tar,1.05,,1.6,0.15,,60.0,355.0,HB,17.0,650.0,15.0,300.0,35.0,350.0,8,0.37420312862687305
Plasterboard (Fire Rated),0.95,,1.15,0.19,14.0,,,Non,0.0,0.0,0.0,150.0,0.0,0.0,6,0.5533540482381525
Plasterboard (Moisture Resistant),0.88,,1.1,0.17,16.5,,,Non,0.0,0.0,0.0,150.0,0.0,0.0,6,0.5533540482381525
Plasterboard (Standard),0.85,,1.09,0.16,16.0,,,Non,0.0,0.0,0.0,150.0,0.0,0.0,6,0.5533540482381525
Platinax,15.5,1200.0,0.18,40.0,9.5,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0,7,0.5585110742290355
Platinum,21.5,1768.0,0.13,72.0,8.8,,,Non,0.0,0.0,0.0,1768.0,0.0,0.0,7,0.5966421350655031
Platinum (95%),21.4,1750.0,0.13,70.0,9.0,,,Non,0.0,0.0,0.0,1750.0,0.0,0.0,7,0.5954337563770234
Platinum (Pure),21.45,1768.0,0.13,72.0,8.8,,,Non,0.0,0.0,0.0,1768.0,0.0,0.0,7,0.5966421350655031
Platinum Silicide,14.5,1229.0,0.18,22.0,9.5,,,Non,0.0,0.0,0.0,1229.0,0.0,0.0,7,0.5604579065604749
Platinum-Rhodium (80/20),20.0,1900.0,0.14,65.0,9.5,,,Non,0.0,0.0,0.0,1900.0,0.0,0.0,7,0.6055035787810203
Plutonium Boride (PuB4),9.25,2400.0,0.2,18.0,10.5,,,Non,0.0,0.0,0.0,2400.0,0.0,0.0,7,0.6390696534610095
Plutonium Dioxide (PuO2),11.46,2390.0,0.25,6.0,11.0,,,Non,0.0,0.0,0.0,2390.0,0.0,0.0,7,0.6383983319674097
Plutonium Hydride,10.4,,0.25,6.5,15.5,,,Non,0.0,0.0,0.0,200.0,0.0,0.0,6,0.5553134494451436
Plutonium Silicide,11.5,1500.0,0.12,8.0,13.5,,,Non,0.0,0.0,0.0,1500.0,0.0,0.0,7,0.5786507190370289
Plywood (Exterior Grade),0.58,,1.55,0.13,4.0,250.0,360.0,HB,24.0,70.0,24.0,280.0,18.5,110.0,8,0.5374081265970962
Polyacetal (Copolymer),1.41,165.0,1.45,0.23,110.0,325.0,375.0,HB,15.5,8.0,0.0,235.0,22.0,185.0,9,0.4741942219940259
Polyacrylonitrile (PAN) Fiber,1.18,320.0,1.25,0.2,30.0,,480.0,HB,18.0,120.0,50.0,320.0,30.0,150.0,8,0.4912940371877079
Polyamide 12 (Nylon 12),1.01,178.0,1.2,0.2,100.0,370.0,400.0,HB,18.0,40.0,5.0,380.0,35.0,100.0,9,0.5055040834561808
Polyamide 46 (Nylon 46),1.18,295.0,1.5,0.3,70.0,410.0,450.0,V-2,24.0,30.0,15.0,430.0,30.0,50.0,9,0.5426470255903991
Polyamide 6 (Nylon 6),1.13,220.0,1.7,0.25,80.0,390.0,420.0,V-2,22.0,35.0,10.0,400.0,31.0,70.0,9,0.5251100572078164
Polyamide-Imide (PAI),1.42,,1.05,0.26,30.0,,600.0,V-0,45.0,20.0,55.0,550.0,25.0,2.0,7,0.6678906053214749
Polyamide-imide (PAI),1.42,275.0,1.0,0.26,31.0,560.0,600.0,V-0,43.0,10.0,55.0,520.0,24.5,5.0,9,0.6241046927150443
Polyamide-imide (Torlon 4301),1.45,275.0,0.98,0.28,25.0,560.0,600.0,V-0,45.0,8.0,55.0,520.0,24.0,5.0,9,0.6265659507519682
Polyaramid Paper,0.9,,1.3,0.15,25.0,,530.0,V-0,28.0,20.0,45.0,450.0,26.0,15.0,7,0.6210521407903061
Polyarylamide (PARA),1.25,235.0,1.4,0.25,45.0,420.0,460.0,HB,22.0,50.0,20.0,420.0,30.0,70.0,9,0.5355891950147122
Polyarylate (PAR),1.205,195.0,1.225,0.215,61.0,490.0,520.0,V-0,35.0,62.5,30.0,450.0,26.5,17.5,9,0.5789504200152569
Polyaryletherketone (PAEK),1.3,340.0,1.2000000000000002,0.245,45.0,560.0,580.0,V-0,36.0,21.0,52.0,570.0,30.0,7.5,9,0.613822544356679
Polyarylsulfone (PAS),1.37,210.0,1.1,0.19,55.0,500.0,540.0,V-0,33.0,25.0,38.0,480.0,25.0,10.0,9,0.588964679873119
Polyarylsulfone (Radel R),1.29,220.0,1.15,0.35,55.0,515.0,560.0,V-0,38.0,15.0,42.0,530.0,24.0,10.0,9,0.6025183892106765
Polybutadiene Rubber,0.91,,2.0,0.18,215.0,305.0,375.0,HB,17.5,190.0,4.0,300.0,43.5,200.0,8,0.49729051625501297
Polybutylene (PB-1) Pipe,0.92,125.0,2.1,0.2,130.0,,350.0,HB,18.0,380.0,3.0,270.0,43.5,190.0,8,0.4126120530976735
Polybutylene Succinate (PBS),1.26,115.0,1.85,0.22,150.0,,350.0,HB,21.0,250.0,15.0,260.0,22.0,180.0,8,0.43723690138578647
Polybutylene Terephthalate (PBT),1.3050000000000002,223.0,1.225,0.205,80.0,360.0,420.0,HB,20.0,177.5,10.0,350.0,25.5,85.0,9,0.5007129395008372
Polycaprolactone (PCL),1.14,60.0,2.0,0.18,180.0,,320.0,HB,20.0,200.0,5.0,220.0,30.0,200.0,8,0.4264280076608191
Polycarbonate (PC),1.2,265.0,1.25,0.21,68.0,449.0,580.0,V-2,26.0,40.0,25.0,430.0,30.5,10.0,9,0.5771379941735195
Polycarbonate Sheet,1.2,,1.2,0.2,68.0,,520.0,V-2,26.0,180.0,15.0,380.0,30.0,40.0,7,0.5787585144030843
Polycarbonate/ABS Blend (Cycoloy),1.14,240.0,1.3,0.2,75.0,390.0,430.0,V-0,28.0,80.0,20.0,380.0,32.0,35.0,9,0.5380867018366655
Polycarbonate/PBT Blend (Xenoy),1.22,230.0,1.25,0.21,80.0,380.0,420.0,HB,22.0,70.0,18.0,390.0,28.0,80.0,9,0.5197628920553881
