Material Name,Density (g/cc),Melting Point (°C),Specific Heat (J/g-°C),Thermal Cond. (W/m-K),CTE (µm/m-°C),Flash Point (°C),Autoignition Temp (°C),UL94 Flammability,Limiting Oxygen Index (%),Smoke Density (Ds),Char Yield (%),Decomp. Temp (°C),Heat of Combustion (MJ/kg),Flame Spread Index
Polyamide 12 (Nylon 12),1.01,178.0,1.2,0.2,100.0,370.0,400.0,HB,18.0,40.0,5.0,380.0,35.0,100.0
Polyamide 46 (Nylon 46),1.18,295.0,1.5,0.3,70.0,410.0,450.0,V-2,24.0,30.0,15.0,430.0,30.0,50.0
Polyamide 6 (Nylon 6),1.13,220.0,1.7,0.25,80.0,390.0,420.0,V-2,22.0,35.0,10.0,400.0,31.0,70.0
Polyamide-Imide (PAI),1.42,,1.05,0.26,30.0,,600.0,V-0,45.0,20.0,55.0,550.0,25.0,2.0
Polyamide-imide (PAI),1.42,275.0,1.0,0.26,31.0,560.0,600.0,V-0,43.0,10.0,55.0,520.0,24.5,5.0
Polyamide-imide (Torlon 4301),1.45,275.0,0.98,0.28,25.0,560.0,600.0,V-0,45.0,8.0,55.0,520.0,24.0,5.0
Polyaramid Paper,0.9,,1.3,0.15,25.0,,530.0,V-0,28.0,20.0,45.0,450.0,26.0,15.0
Polyarylamide (PARA),1.25,235.0,1.4,0.25,45.0,420.0,460.0,HB,22.0,50.0,20.0,420.0,30.0,70.0
Polyarylate (PAR),1.205,195.0,1.225,0.215,61.0,490.0,520.0,V-0,35.0,62.5,30.0,450.0,26.5,17.5
Polyaryletherketone (PAEK),1.3,340.0,1.2000000000000002,0.245,45.0,560.0,580.0,V-0,36.0,21.0,52.0,570.0,30.0,7.5
Polyarylsulfone (PAS),1.37,210.0,1.1,0.19,55.0,500.0,540.0,V-0,33.0,25.0,38.0,480.0,25.0,10.0
Polyarylsulfone (Radel R),1.29,220.0,1.15,0.35,55.0,515.0,560.0,V-0,38.0,15.0,42.0,530.0,24.0,10.0
Polybutadiene Rubber,0.91,,2.0,0.18,215.0,305.0,375.0,HB,17.5,190.0,4.0,300.0,43.5,200.0
Polybutylene (PB-1) Pipe,0.92,125.0,2.1,0.2,130.0,,350.0,HB,18.0,380.0,3.0,270.0,43.5,190.0
Polybutylene Succinate (PBS),1.26,115.0,1.85,0.22,150.0,,350.0,HB,21.0,250.0,15.0,260.0,22.0,180.0
Polybutylene Terephthalate (PBT),1.3050000000000002,223.0,1.225,0.20500000000000002,80.0,360.0,420.0,HB,20.0,177.5,10.0,350.0,25.5,85.0
Polycaprolactone (PCL),1.14,60.0,2.0,0.18,180.0,,320.0,HB,20.0,200.0,5.0,220.0,30.0,200.0
Polycarbonate (PC),1.2,265.0,1.25,0.21,68.0,449.0,580.0,V-2,26.0,40.0,25.0,430.0,30.5,10.0
Polycarbonate Sheet,1.2,,1.2,0.2,68.0,,520.0,V-2,26.0,180.0,15.0,380.0,30.0,40.0
Polycarbonate/ABS Blend (Cycoloy),1.14,240.0,1.3,0.2,75.0,390.0,430.0,V-0,28.0,80.0,20.0,380.0,32.0,35.0
Polycarbonate/PBT Blend (Xenoy),1.22,230.0,1.25,0.21,80.0,380.0,420.0,HB,22.0,70.0,18.0,390.0,28.0,80.0
Polycarbonate/Siloxane Copolymer,1.19,250.0,1.2,0.22,65.0,460.0,585.0,V-0,32.0,20.0,30.0,440.0,29.0,10.0
Polychloroprene (Neoprene) Sponge,0.25,,1.6,0.06,,,400.0,V-2,26.0,500.0,25.0,260.0,25.0,120.0
Polycyclohexylene Dimethylene Terephthalate (PCT),1.23,285.0,1.2,0.2,65.0,395.0,450.0,HB,20.0,60.0,15.0,410.0,24.0,100.0
Polyester (PET-P),1.38,255.0,1.15,0.24,65.0,400.0,480.0,V-2,22.0,60.0,15.0,400.0,22.0,80.0
Polyester (Thermoset),1.25,130.0,1.1,0.2,70.0,350.0,400.0,HB,19.0,150.0,12.0,340.0,30.0,150.0
Polyester Fiber (Dacron),1.38,255.0,1.15,0.15,15.0,400.0,480.0,HB,21.0,80.0,15.0,400.0,22.0,100.0
Polyester Fiber (PET),1.38,255.0,1.3,0.15,65.0,,480.0,HB,21.0,300.0,15.0,400.0,22.0,150.0
Polyester Resin (GRP),1.8,,1.2,0.25,30.0,,480.0,HB,20.0,450.0,15.0,350.0,30.0,150.0
Polyether Block Amide (PEBA),1.01,150.0,1.8,0.25,150.0,,400.0,HB,21.0,300.0,8.0,350.0,34.0,150.0
Polyetheretherketone (PEEK),1.315,343.0,1.245,0.25,47.0,570.0,595.0,V-0,35.0,22.5,50.0,575.0,30.0,7.5
Polyetherimide (PEI),1.27,215.0,1.165,0.22,55.5,535.0,535.0,V-0,47.0,17.5,52.0,510.0,26.0,5.0
Polyetherimide (Ultem 1000),1.27,215.0,1.18,0.22,56.0,535.0,540.0,V-0,47.0,5.0,52.0,510.0,26.0,5.0
Polyetherimide (Ultem 2300),1.51,215.0,1.05,0.25,20.0,535.0,545.0,V-0,50.0,5.0,58.0,520.0,25.0,5.0
Polyetherketone (PEK),1.31,373.0,1.1,0.24,45.0,,600.0,V-0,50.0,25.0,60.0,600.0,28.0,5.0
Polyetherketoneketone (PEKK),1.27,305.0,1.2,0.25,50.0,,580.0,V-0,45.0,40.0,55.0,560.0,28.0,5.0
Polyethersulfone (30% Glass),1.6,225.0,1.05,0.25,22.0,510.0,550.0,V-0,40.0,18.0,42.0,530.0,23.5,10.0
Polyethersulfone (PES),1.37,225.0,1.1,0.18,55.0,510.0,540.0,V-0,38.0,37.5,40.0,500.0,26.0,10.0
Polyethersulfone (PESU),1.37,225.0,1.12,0.18,54.0,510.0,550.0,V-0,38.0,20.0,40.0,520.0,24.0,10.0
Polyethylene (HDPE),0.95,131.0,1.92,0.48,120.0,341.0,349.0,HB,17.4,15.0,5.0,340.0,43.5,110.0
Polyethylene (HDPE) Pipe,0.95,130.0,2.3,0.45,120.0,,340.0,HB,18.0,400.0,2.0,280.0,44.0,200.0
Polyethylene (LDPE),0.92,110.0,2.3,0.33,200.0,341.0,350.0,HB,17.0,20.0,0.0,340.0,43.0,140.0
Polyethylene (PE) Foam,0.05,110.0,2.3,0.04,,,340.0,HB,17.0,450.0,2.0,280.0,44.0,300.0
Polyethylene (UHMWPE),0.94,135.0,2.3,0.42,150.0,340.0,350.0,HB,17.2,15.0,0.0,345.0,43.5,130.0
Polyethylene (XLPE),0.93,130.0,2.15,0.4,135.0,340.0,350.0,HB,18.0,25.0,5.0,345.0,43.0,110.0
Polyethylene Fiber (Dyneema),0.97,144.0,2.3,20.0,0.0,340.0,355.0,HB,17.5,15.0,0.0,345.0,43.5,130.0
Polyethylene Fiber (UHMWPE),0.97,145.0,2.3,20.0,200.0,,340.0,HB,17.0,400.0,2.0,200.0,45.0,300.0
Polyethylene Naphthalate (PEN),1.36,265.0,1.15,0.2,20.0,,500.0,V-2,25.0,300.0,25.0,450.0,24.0,80.0
Polyethylene Terephthalate (PET),1.35,255.0,1.2,0.25,65.0,,480.0,HB,21.0,400.0,15.0,400.0,22.0,150.0
Polyethylene Terephthalate (PET-G),1.27,225.0,1.2,0.25,60.0,380.0,450.0,HB,21.0,65.0,14.0,390.0,23.0,90.0
Polyhydroxyalkanoates (PHA),1.25,175.0,1.7,0.2,120.0,,370.0,HB,22.0,150.0,22.0,260.0,20.0,120.0
Polyimide (PI),1.43,400.0,1.115,0.15,40.0,580.0,610.0,V-0,38.0,11.5,60.0,580.0,25.2,3.5
Polyimide (Vespel SP-1),1.43,400.0,1.13,0.15,40.0,580.0,610.0,V-0,38.0,8.0,62.0,600.0,25.2,5.0
Polyimide Aerogel,0.1,,1.1,0.02,30.0,,600.0,V-0,38.0,8.0,60.0,580.0,25.0,5.0
Polyimide Film (Kapton),1.42,,1.1,0.12,20.0,,580.0,V-0,37.0,10.0,60.0,520.0,24.0,5.0
Polyimide Foam,0.01,,1.1,0.04,40.0,,600.0,V-0,38.0,8.0,62.0,580.0,25.0,5.0
Polyisobutylene (PIB),0.92,,1.95,0.18,210.0,,350.0,HB,18.0,550.0,5.0,280.0,41.0,280.0
Polyisocyanurate (PIR),0.04,,1.5,0.02,60.0,,530.0,V-0,25.0,250.0,25.0,300.0,28.0,25.0
Polyisocyanurate Foam (PIR),0.03,,1.45,0.022,60.0,360.0,400.0,V-0,25.0,160.0,25.0,310.0,27.0,40.0
Polyisoprene (Synthetic),0.92,,1.95,0.15,220.0,290.0,360.0,HB,17.2,210.0,5.0,290.0,43.8,215.0
Polylactic Acid (PLA),1.24,160.0,1.8,0.13,85.0,,380.0,HB,24.0,100.0,20.0,250.0,19.0,100.0
Polymer Concrete (Epoxy),2.3,,1.05,0.7,30.0,,,V-0,26.0,200.0,20.0,300.0,25.0,25.0
Polymer Concrete (PMMA),2.2,,1.1,0.8,25.0,,,HB,22.0,250.0,10.0,250.0,22.0,75.0
Polyphenylene Ether (PPE),1.06,260.0,1.35,0.22,60.0,425.0,485.0,V-1,29.0,40.0,22.0,445.0,29.5,20.0
Polyphenylene Oxide (PPO),1.06,260.0,1.3,0.22,60.0,420.0,450.0,V-1,28.0,147.5,20.0,400.0,29.0,30.0
Polyphenylene Sulfide (PPS),1.35,285.0,1.0950000000000002,0.295,49.5,540.0,540.0,V-0,44.0,31.0,48.0,500.0,25.0,5.0
Polypropylene (20% Talc Filled),1.05,164.0,1.55,0.25,65.0,335.0,355.0,HB,19.5,35.0,10.0,325.0,39.0,125.0
Polypropylene (30% Glass),1.12,166.0,1.45,0.22,40.0,340.0,360.0,HB,21.5,40.0,12.0,330.0,40.0,115.0
Polypropylene (FR Grade),1.02,165.0,1.8,0.2,110.0,340.0,360.0,V-0,28.0,50.0,15.0,330.0,35.0,40.0
Polypropylene (PP),0.91,165.0,1.92,0.15,150.0,330.0,357.0,HB,17.5,20.0,2.0,320.0,44.0,150.0
Polypropylene (PP) Foam,0.06,160.0,1.9,0.04,,,330.0,HB,18.0,350.0,5.0,300.0,43.0,180.0
Polypropylene (PP) Pipe,0.9,165.0,1.9,0.22,150.0,,330.0,HB,18.0,350.0,5.0,300.0,43.0,180.0
Polypropylene Fiber,0.91,165.0,1.9,0.2,150.0,,330.0,HB,18.0,350.0,5.0,300.0,43.0,180.0
Polystyrene (GPPS),1.05,240.0,1.3,0.13,70.0,345.0,427.0,HB,18.2,100.0,0.0,350.0,41.8,170.0
Polystyrene (High Impact/HIPS),1.04,225.0,1.4,0.14,85.0,340.0,425.0,HB,18.0,110.0,2.0,345.0,41.0,180.0
Polystyrene Foam (White),0.02,,1.3,0.04,70.0,,450.0,HB,18.0,400.0,5.0,240.0,40.0,200.0
Polysulfide Rubber,1.3,,1.525,0.2,155.0,320.0,380.0,HB,19.0,290.0,30.0,260.0,28.0,135.0
Polysulfone (PSU),1.24,190.0,1.1,0.255,55.0,490.0,545.0,V-0,30.0,55.0,35.0,460.0,28.0,12.5
Polysulfone (Udel),1.24,190.0,1.05,0.26,55.0,490.0,545.0,V-0,30.0,30.0,35.0,460.0,24.0,10.0
Polytetrafluoroethylene (PTFE),2.16,327.0,1.0,0.25,124.0,530.0,530.0,V-0,95.0,2.0,0.0,510.0,5.1,5.0
Polyurethane (90A),1.2,180.0,1.85,0.2,150.0,340.0,380.0,HB,19.0,250.0,15.0,280.0,28.0,180.0
Polyurethane (Rigid),0.06,190.0,1.48,0.03,72.0,355.0,415.0,HB,19.2,160.0,22.0,310.0,27.5,200.0
Polyurethane Foam (Fire Retardant),0.04,,1.4,0.04,65.0,350.0,390.0,V-0,26.0,150.0,20.0,300.0,26.0,50.0
Polyurethane Foam (Flexible),0.03,,1.5,0.04,70.0,330.0,370.0,HB,18.0,300.0,5.0,270.0,29.0,250.0
Polyurethane Sealant,1.2,,1.4,0.22,150.0,,400.0,HB,20.0,400.0,15.0,260.0,30.0,120.0
Polyvinyl Chloride (PVC),1.38,212.0,0.9,0.19,50.0,391.0,454.0,V-0,47.0,250.0,45.0,280.0,18.5,15.0
Polyvinyl Fluoride (PVF),1.45,,1.4,0.16,100.0,,,V-0,25.0,150.0,20.0,380.0,18.0,20.0
Polyvinyl Fluoride (PVF/Tedlar),1.45,190.0,1.4,0.16,50.0,400.0,430.0,V-0,25.0,15.0,20.0,380.0,18.0,10.0
Polyvinylidene Fluoride (PVDF),1.78,172.0,1.3,0.19,125.0,440.0,460.0,V-0,44.0,22.5,25.0,440.0,14.5,7.5
Porcelain Tile,2.5,1700.0,0.8,1.5,5.5,,,Non,0.0,0.0,0.0,1700.0,0.0,0.0
Portland Cement (Neat),1.5,,0.85,0.4,12.0,,,Non,0.0,0.0,0.0,1400.0,0.0,0.0
Potassium,0.86,63.4,0.75,102.0,83.0,,70.0,HB,0.0,0.0,0.0,759.0,38.0,400.0
Potassium (Metal),0.86,63.0,0.75,102.0,83.0,,,Non,0.0,0.0,0.0,759.0,0.0,0.0
Potassium Alumino Silicate (Orthoclase),2.56,1200.0,0.8,1.5,8.5,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0
Potassium Bromide,2.75,734.0,0.45,4.8,38.0,,,Non,0.0,0.0,0.0,734.0,0.0,0.0
Potassium Bromide Crystal,2.75,730.0,0.44,4.8,43.0,,,Non,0.0,0.0,0.0,730.0,0.0,0.0
Potassium Carbonate,2.43,891.0,0.9,0.4,28.0,,,Non,0.0,0.0,0.0,891.0,0.0,0.0
Potassium Chlorate,2.32,356.0,0.81,0.38,,,,,,1000.0,0.0,400.0,0.0,
Potassium Chloride,1.98,770.0,0.66,6.5,34.35,,,Non,0.0,0.0,0.0,770.0,0.0,0.0
Potassium Hydride,1.43,,1.05,1.0,80.0,,,Non,0.0,0.0,0.0,400.0,0.0,0.0
Potassium Iodide,3.12,681.0,0.35,2.5,42.0,,,Non,0.0,0.0,0.0,681.0,0.0,0.0
Potassium Iodide Crystal,3.13,681.0,0.32,2.0,43.0,,,Non,0.0,0.0,0.0,681.0,0.0,0.0
Potassium Nitrate,2.11,334.0,0.95,0.475,30.0,,,Non,0.0,500.0,0.0,400.0,0.0,0.0
Potassium Perchlorate,2.52,525.0,0.85,0.35,,,,,,1000.0,0.0,600.0,0.0,
Potassium Phosphide,1.62,,1.1,0.3,,,,Non,0.0,0.0,0.0,650.0,0.0,0.0
Praseodymium (Pure),6.77,931.0,0.19,12.0,6.7,,,Non,0.0,0.0,0.0,931.0,0.0,0.0
Praseodymium Boride (PrB6),4.85,2170.0,0.55,38.0,7.5,,,Non,0.0,0.0,0.0,2170.0,0.0,0.0
Praseodymium Hexaboride (PrB6),4.85,2205.0,0.58,40.0,7.0,,,Non,0.0,0.0,0.0,2205.0,0.0,0.0
Praseodymium Hydride,6.45,1000.0,0.35,5.4,12.0,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0
Praseodymium Oxide (Pr2O3),6.94,2183.0,0.35,12.0,11.0,,,Non,0.0,0.0,0.0,2183.0,0.0,0.0
Praseodymium Silicide,6.15,1500.0,0.32,8.0,12.0,,,Non,0.0,0.0,0.0,1500.0,0.0,0.0
Propadiene,0.66,-136.0,1.55,,-60.0,,,,,0.0,,46.5,,
Propane,0.5,-188.0,2.45,0.13,-104.0,450.0,,,,0.0,,46.3,,
Propane (Liquid),0.5,-188.0,2.45,0.13,,-104.0,450.0,HB,14.0,,0.0,-42.0,46.3,
Propionic Acid,0.99,-21.0,2.05,0.15,54.0,465.0,,,,5.0,141.0,20.5,,
Propylene,0.51,-185.0,1.55,0.14,-108.0,455.0,,,,0.0,,45.8,,
Propylene Glycol,1.04,-59.0,2.5,0.2,99.0,371.0,,,,5.0,188.0,23.5,,
Propylene Oxide,0.83,-112.0,2.05,0.14,-37.0,449.0,,,,0.0,,33.5,,
Pultruded Profile (FRP),1.85,,1.1,0.3,12.0,,480.0,HB,22.0,400.0,20.0,350.0,30.0,100.0
Pumice,0.6,,0.9,0.15,8.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0
Pyridine,0.98,-42.0,1.65,0.16,20.0,482.0,,,,10.0,,35.1,,
Pyrolytic Boron Nitride,2.15,3000.0,0.8,60.0,2.0,,,Non,0.0,0.0,0.0,3000.0,0.0,0.0
Pyrolytic Boron Nitride (PBN),2.15,,0.85,65.0,1.5,,,Non,0.0,0.0,0.0,3000.0,0.0,0.0
Pyrolytic Graphite,2.2,3650.0,0.71,300.0,1.0,,,Non,0.0,0.0,0.0,3650.0,0.0,0.0
Pyrolytic Graphite (PG),2.25,3650.0,0.71,400.0,0.5,,,Non,0.0,0.0,0.0,3650.0,0.0,0.0
Pyromet 31,8.1,1350.0,0.46,12.5,13.8,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0
Pyromet 718,8.19,1260.0,0.43,11.4,13.0,,,Non,0.0,0.0,0.0,1260.0,0.0,0.0
Pyrrole,0.97,-23.0,1.65,0.16,39.0,550.0,,,,15.0,,34.5,,
Quartz (Crystalline),2.65,1670.0,0.75,10.0,13.0,,,Non,0.0,0.0,0.0,1670.0,0.0,0.0
Quartz Fiber,2.2,1650.0,0.75,1.4,0.5,,,Non,0.0,0.0,0.0,1650.0,0.0,0.0
Quartz Glass (Synthetic),2.2,1710.0,0.75,1.38,0.5,,,Non,0.0,0.0,0.0,1710.0,0.0,0.0
Quartzite,2.65,1670.0,0.75,3.5,12.0,,,Non,0.0,0.0,0.0,1670.0,0.0,0.0
RDX (Cyclonite),1.82,204.0,1.2,0.2,,,230.0,,,1000.0,2.0,210.0,12.0,
Rammed Earth,1.95,,1.0,0.8,8.5,,,Non,0.0,0.0,0.0,600.0,0.0,0.0
Rattan,0.35,,1.8,0.08,,240.0,340.0,HB,22.0,90.0,20.0,270.0,17.5,150.0
Red Brass (85%),8.75,1020.0,0.38,159.0,18.7,,,Non,0.0,0.0,0.0,1020.0,0.0,0.0
Rene 41 (Sheet),8.25,1330.0,0.45,10.8,13.2,,,Non,0.0,0.0,0.0,1330.0,0.0,0.0
Rene 77,8.25,1300.0,0.45,10.0,13.0,,,Non,0.0,0.0,0.0,1300.0,0.0,0.0
Rene 80,8.16,1300.0,0.45,10.2,13.1,,,Non,0.0,0.0,0.0,1300.0,0.0,0.0
Rene 95,8.25,1330.0,0.45,10.5,13.5,,,Non,0.0,0.0,0.0,1330.0,0.0,0.0
René 41,8.25,1330.0,0.45,10.8,13.2,,,Non,0.0,0.0,0.0,1330.0,0.0,0.0
Rhenium Metal,21.0,3180.0,0.14,48.0,6.2,,,Non,0.0,0.0,0.0,3180.0,0.0,0.0
Rhenium Silicide,11.5,1900.0,0.22,25.0,6.5,,,Non,0.0,0.0,0.0,1900.0,0.0,0.0
Rhenium Trioxide,7.07,400.0,0.25,15.0,10.0,,,Non,0.0,0.0,0.0,400.0,0.0,0.0
Rhenium-Molybdenum (50/50),13.7,2550.0,0.2,85.0,5.8,,,Non,0.0,0.0,0.0,2550.0,0.0,0.0
Rhenium-Tungsten Alloy,19.7,3410.0,0.13,110.0,4.7,,,Non,0.0,0.0,0.0,3410.0,0.0,0.0
Rhodium,12.4,1964.0,0.24,150.0,8.2,,,Non,0.0,0.0,0.0,1964.0,0.0,0.0
Rhodium (Pure),12.4,1964.0,0.24,150.0,8.2,,,Non,0.0,0.0,0.0,1964.0,0.0,0.0
Rhodium Silicide,8.25,1500.0,0.32,20.0,8.5,,,Non,0.0,0.0,0.0,1500.0,0.0,0.0
Rigid Polyurethane Foam,0.05,,1.45,0.02,65.0,,480.0,V-1,22.0,300.0,15.0,260.0,30.0,75.0
Rockwool Board,0.15,1150.0,0.85,0.04,0.0,,,Non,0.0,0.0,0.0,1150.0,0.0,0.0
Rosin,1.08,100.0,1.4,0.12,,180.0,,HB,18.0,400.0,5.0,300.0,35.0,300.0
Rubidium (Metal),1.53,39.0,0.36,58.0,90.0,,,Non,0.0,0.0,0.0,688.0,0.0,0.0
Rubidium Bromide,3.35,693.0,0.3,1.2,35.0,,,Non,0.0,0.0,0.0,693.0,0.0,0.0
Rubidium Chloride,2.8,718.0,0.45,1.5,38.0,,,Non,0.0,0.0,0.0,718.0,0.0,0.0
Rubidium Iodide,3.55,647.0,0.3,1.0,42.0,,,Non,0.0,0.0,0.0,647.0,0.0,0.0
Rubidium Iodide Crystal,3.55,647.0,0.25,1.5,40.0,,,Non,0.0,0.0,0.0,647.0,0.0,0.0
Ruby (Synthetic),4.0,2040.0,0.76,35.0,8.4,,,Non,0.0,0.0,0.0,2040.0,0.0,0.0
Ruthenium (Pure),12.4,2334.0,0.24,117.0,6.4,,,Non,0.0,0.0,0.0,2334.0,0.0,0.0
Ruthenium Metal,12.4,2334.0,0.24,117.0,6.4,,,Non,0.0,0.0,0.0,2334.0,0.0,0.0
Ruthenium Silicide,7.85,1600.0,0.35,22.0,7.5,,,Non,0.0,0.0,0.0,1600.0,0.0,0.0
S-816 Cobalt Alloy,8.6,1315.0,0.42,12.5,13.5,,,Non,0.0,0.0,0.0,1315.0,0.0,0.0
SAN (30% Glass Fiber),1.3,115.0,1.1,0.18,30.0,355.0,435.0,HB,19.5,80.0,15.0,350.0,34.0,130.0
SBR Rubber,0.95,,1.9,0.16,210.0,300.0,360.0,HB,17.5,220.0,8.0,300.0,43.0,210.0
SBR Rubber (Reinforced),1.15,,1.8,0.25,180.0,310.0,370.0,HB,18.2,230.0,12.0,310.0,41.5,190.0
SMC (Polyester Sheet),1.9,,1.0,0.55,18.0,350.0,400.0,V-0,25.0,160.0,30.0,350.0,28.0,30.0
Samaria (Sm2O3),8.35,2335.0,0.2,10.0,10.0,,,Non,0.0,0.0,0.0,2335.0,0.0,0.0
Samarium (Pure),7.52,1072.0,0.2,13.0,12.7,,,Non,0.0,0.0,0.0,1072.0,0.0,0.0
Samarium Boride (SmB6),5.05,2130.0,0.5,32.0,8.1,,,Non,0.0,0.0,0.0,2130.0,0.0,0.0
Samarium Cobalt (Magnet),8.4,1200.0,0.35,12.0,9.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0
Samarium Hexaboride (SmB6),5.05,2230.0,0.52,35.0,7.5,,,Non,0.0,0.0,0.0,2230.0,0.0,0.0
Samarium Hydride,7.7,1000.0,0.3,4.8,11.2,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0
Samarium Iron Garnet (SmIG),6.2,1520.0,0.4,5.2,10.0,,,Non,0.0,0.0,0.0,1520.0,0.0,0.0
Samarium Oxide (Sm2O3),8.35,2335.0,0.32,10.0,10.8,,,Non,0.0,0.0,0.0,2335.0,0.0,0.0
Samarium Silicide,6.75,1400.0,0.28,12.0,11.0,,,Non,0.0,0.0,0.0,1400.0,0.0,0.0
Samarium Zirconate (Sm2Zr2O7),6.85,2450.0,0.35,1.7,10.5,,,Non,0.0,0.0,0.0,2450.0,0.0,0.0
Sandstone (Quartz),2.35,,0.92,1.7,11.5,,,Non,0.0,0.0,0.0,1500.0,0.0,0.0
Sapphire,3.98,2040.0,0.75,35.0,8.0,,,Non,0.0,0.0,0.0,2040.0,0.0,0.0
Sapphire (Synthetic),3.98,2040.0,0.76,35.0,8.4,,,Non,0.0,0.0,0.0,2040.0,0.0,0.0
Scandia (Sc2O3),3.86,2485.0,0.5,16.0,7.5,,,Non,0.0,0.0,0.0,2485.0,0.0,0.0
Scandium (Pure),2.99,1541.0,0.57,15.0,10.2,,,Non,0.0,0.0,0.0,1541.0,0.0,0.0
Scandium Boride (ScB2),2.85,2250.0,0.85,30.0,7.5,,,Non,0.0,0.0,0.0,2250.0,0.0,0.0
Scandium Hexaboride (ScB6),2.85,2250.0,0.95,35.0,5.5,,,Non,0.0,0.0,0.0,2250.0,0.0,0.0
Scandium Oxide (Sc2O3),3.86,2485.0,0.65,18.0,6.5,,,Non,0.0,0.0,0.0,2485.0,0.0,0.0
Scandium Silicide,3.55,1700.0,0.65,20.0,8.5,,,Non,0.0,0.0,0.0,1700.0,0.0,0.0
Selenium (Grey),4.81,221.0,0.32,0.5,37.0,,,Non,0.0,0.0,0.0,685.0,0.0,0.0
Selenium Hydride,0.004,-65.0,0.45,,,,,,0.0,-41.0,18.5,,,
Selenium Silicide,4.25,,0.35,5.0,18.5,,,Non,0.0,0.0,0.0,650.0,0.0,0.0
Serpentine,2.6,,0.95,2.0,9.5,,,Non,0.0,0.0,0.0,600.0,0.0,0.0
Shale Oil,0.9,,1.95,0.14,,30.0,450.0,HB,16.0,700.0,5.0,300.0,42.0,400.0
Shellac,1.15,75.0,1.3,0.15,,,,HB,20.0,250.0,15.0,280.0,25.0,200.0
Shotcrete,2.3,,0.9,1.3,11.5,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0
Sialon (Ceramic),3.25,,0.72,25.0,3.2,,,Non,0.0,0.0,0.0,1800.0,0.0,0.0
Silica Aerogel,0.1,1200.0,0.8,0.015,3.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0
Silica Brick,2.25,1650.0,1.1,1.5,4.5,,,Non,0.0,0.0,0.0,1650.0,0.0,0.0
Silica Fiber (99.9%),2.2,1650.0,0.75,0.04,0.5,,,Non,0.0,0.0,0.0,1650.0,0.0,0.0
Silica Fume,2.2,1650.0,0.75,0.5,,,,Non,0.0,0.0,0.0,1650.0,0.0,0.0
Silicon (Polycryst),2.33,1414.0,0.71,148.0,2.6,,,Non,0.0,0.0,0.0,1414.0,0.0,0.0
Silicon (Pure),2.33,1414.0,0.71,149.0,2.6,,,Non,0.0,0.0,0.0,1414.0,0.0,0.0
Silicon (Pure/Wafer),2.33,1414.0,0.71,149.0,2.6,,,Non,0.0,0.0,0.0,1414.0,0.0,0.0
Silicon (Single Crystal),2.33,1414.0,0.71,148.0,2.6,,,Non,0.0,0.0,0.0,1414.0,0.0,0.0
Silicon Bronze,8.53,955.0,0.38,36.0,18.0,,,Non,0.0,0.0,0.0,955.0,0.0,0.0
Silicon Bronze (C87500),8.28,915.0,0.38,28.0,19.6,,,Non,0.0,0.0,0.0,915.0,0.0,0.0
Silicon Carbide,3.1,2730.0,0.7,120.0,4.0,,,Non,0.0,0.0,0.0,2730.0,0.0,0.0
Silicon Carbide (4H),3.21,2730.0,0.7,370.0,4.0,,,Non,0.0,0.0,0.0,2730.0,0.0,0.0
Silicon Carbide (6H),3.21,2730.0,0.7,490.0,4.0,,,Non,0.0,0.0,0.0,2730.0,0.0,0.0
Silicon Carbide (Beta),3.21,2730.0,0.7,120.0,4.0,,,Non,0.0,0.0,0.0,2730.0,0.0,0.0
Silicon Carbide (CVD),3.21,2730.0,0.71,150.0,4.0,,,Non,0.0,0.0,0.0,2730.0,0.0,0.0
Silicon Carbide (Reaction Bonded),3.05,2730.0,0.725,115.0,4.2,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0
Silicon Carbide (Recrystallized),2.7,2730.0,0.85,35.0,4.8,,,Non,0.0,0.0,0.0,2730.0,0.0,0.0
Silicon Carbide (SSIC),3.15,2730.0,0.7,120.0,4.0,,,Non,0.0,0.0,0.0,2730.0,0.0,0.0
Silicon Carbide (Sintered),3.15,,0.7,110.0,4.0,,,Non,0.0,0.0,0.0,2700.0,0.0,0.0
Silicon Carbide Brick,2.6,2500.0,0.8,15.0,4.5,,,Non,0.0,0.0,0.0,2500.0,0.0,0.0
Silicon Carbide Fiber,3.0,2700.0,0.7,20.0,3.0,,,Non,0.0,0.0,0.0,2700.0,0.0,0.0
Silicon Carbide Fiber (Nicalon),2.55,,0.7,3.0,3.5,,,Non,0.0,0.0,0.0,1300.0,0.0,0.0
Silicon Carbide Foam,0.4,2700.0,0.7,5.0,4.0,,,Non,0.0,0.0,0.0,2700.0,0.0,0.0
Silicon Crystal,2.33,1410.0,0.7,148.0,2.6,,,Non,0.0,0.0,0.0,1410.0,0.0,0.0
Silicon Dioxide (Cristobalite),2.33,1713.0,0.75,1.5,10.0,,,Non,0.0,0.0,0.0,1713.0,0.0,0.0
